DEBUG   |171106 15:01:22|-- Loading filter Joomlaskipfiles
DEBUG   |171106 15:01:22|-- Loading filter Siteroot
DEBUG   |171106 15:01:22|-- Loading filter Excludefolders
DEBUG   |171106 15:01:22|-- Loading filter Libraries
DEBUG   |171106 15:01:22|-- Loading filter Sitedb
DEBUG   |171106 15:01:22|-- Loading filter Systemcachefiles
DEBUG   |171106 15:01:22|-- Loading filter Joomlaskipdirs
DEBUG   |171106 15:01:22|Loading optional filters
DEBUG   |171106 15:01:22|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |171106 15:01:22|-- Loading optional filter Stack\StackHoststats
DEBUG   |171106 15:01:22|-- Loading optional filter Stack\StackFinder
DEBUG   |171106 15:01:22|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |171106 15:04:53| -- Resetting Akeeba Engine factory (backend.id33)
DEBUG   |171106 15:04:53|Fetching filter data from database
DEBUG   |171106 15:04:53|Loading filters
DEBUG   |171106 15:04:53|-- Loading filter Regextabledata
DEBUG   |171106 15:04:53|-- Loading filter Regexdirectories
DEBUG   |171106 15:04:53|-- Loading filter Regexskipfiles
DEBUG   |171106 15:04:53|-- Loading filter Incremental
DEBUG   |171106 15:04:53|-- Loading filter Regexfiles
DEBUG   |171106 15:04:53|-- Loading filter Multidb
DEBUG   |171106 15:04:53|-- Loading filter Regextables
DEBUG   |171106 15:04:53|-- Loading filter Tabledata
DEBUG   |171106 15:04:53|-- Loading filter Skipdirs
DEBUG   |171106 15:04:53|-- Loading filter Tables
DEBUG   |171106 15:04:53|-- Loading filter Extradirs
DEBUG   |171106 15:04:53|-- Loading filter Skipfiles
DEBUG   |171106 15:04:53|-- Loading filter Directories
DEBUG   |171106 15:04:53|-- Loading filter Files
DEBUG   |171106 15:04:53|-- Loading filter Regexskipdirs
DEBUG   |171106 15:04:53|-- Loading filter Excludefiles
DEBUG   |171106 15:04:53|-- Loading filter Excludetabledata
DEBUG   |171106 15:04:53|-- Loading filter Cvsfolders
DEBUG   |171106 15:04:53|-- Loading filter Joomlaskipfiles
DEBUG   |171106 15:04:53|-- Loading filter Siteroot
DEBUG   |171106 15:04:53|-- Loading filter Excludefolders
DEBUG   |171106 15:04:53|-- Loading filter Libraries
DEBUG   |171106 15:04:53|-- Loading filter Sitedb
DEBUG   |171106 15:04:53|-- Loading filter Systemcachefiles
DEBUG   |171106 15:04:53|-- Loading filter Joomlaskipdirs
DEBUG   |171106 15:04:53|Loading optional filters
DEBUG   |171106 15:04:53|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |171106 15:04:53|-- Loading optional filter Stack\StackHoststats
DEBUG   |171106 15:04:53|-- Loading optional filter Stack\StackFinder
DEBUG   |171106 15:04:53|-- Loading optional filter Stack\StackMyjoomla
